AXB1234,Fusca,Wolkswagen,1975,Amarela
AVC7362,Gol,Wolkswagen,1980,Verde
KWI3829,Polo,Wolkswagen,2022,Prata
KHJ4273,Jetta,Wolkswagen,2010,Preta
AUI8090,Voyage,Wolkswagen,2006,Prata
LLS3920,Monza,Chevrolet,1982,Prata
HAK8292,Cruze,Chevrolet,2015,Preta
KJS3822,Tracker,Chevrolet,2017,Branca
ABD7237,Spin,Chevrolet,2019,Azul
XPT8499,Onix,Chevrolet,2020,Vermelha
YIW3728,Argo,Fiat,2020,Vermelha
YAG3129,Mobi,Fiat,2021,Prata
JHA8349,Fiat 147,Fiat,1981,Branca
KAR8312,Siena,Fiat,2001,Preta
AAN8992,Cronos,Fiat,2021,Vermelha
